Date,Adj Close,Close,High,Low,Open,Volume,Daily Return
2017-07-14,72.98137664794922,92.25,92.61000061035156,90.58000183105469,90.80999755859375,22235200,0.0
2017-07-17,72.30101013183594,91.38999938964844,91.98999786376953,91.25,91.81999969482422,14374200,-0.932246755765187
2017-07-18,72.04784393310547,91.06999969482422,91.58000183105469,90.31999969482422,90.44999694824219,14719400,-0.350155825304288
2017-07-19,72.15069580078125,91.19999694824219,91.62000274658203,91.0,91.33999633789062,11651200,0.14275495568094598
2017-07-20,72.15069580078125,91.19999694824219,91.72000122070312,90.9000015258789,91.1500015258789,11561700,0.0
2017-07-21,71.90544128417969,90.88999938964844,91.36000061035156,90.5199966430664,91.05999755859375,10971300,-0.3399198218112076
2017-07-24,72.2139663696289,91.27999877929688,91.54000091552734,90.91000366210938,90.95999908447266,10725100,0.4290705681505802
2017-07-25,73.41651153564453,92.80000305175781,93.5199966430664,92.2699966430664,92.37000274658203,16447700,1.6652528956246027
2017-07-26,72.72823333740234,91.93000030517578,93.19000244140625,91.68000030517578,93.0999984741211,11815500,-0.9374978241890708
2017-07-27,72.4275894165039,91.55000305175781,92.05999755859375,91.16000366210938,91.83000183105469,12332400,-0.4133799311523023
2017-07-28,72.2139663696289,91.27999877929688,91.75,90.91000366210938,91.44999694824219,9351900,-0.2949470617426342
2017-07-31,72.6253890991211,91.80000305175781,92.36000061035156,91.5,91.51000213623047,11520300,0.569727367399131
2017-08-01,73.59845733642578,93.02999877929688,93.13999938964844,92.27999877929688,92.48999786376953,12523700,1.339845816146501
2017-08-02,73.6617660522461,93.11000061035156,93.20999908447266,92.51000213623047,92.87000274658203,10165600,0.08601907989853608
2017-08-03,73.17916107177734,92.5,93.12999725341797,92.23999786376953,92.69999694824219,11078800,-0.6551634672001372
2017-08-04,74.09685516357422,93.66000366210938,94.4000015258789,93.47000122070312,93.5,14324000,1.2540374586923253
2017-08-07,74.38166046142578,94.0199966430664,94.19000244140625,93.70999908447266,93.88999938964844,7978300,0.3843689414656515
2017-08-08,74.11268615722656,93.68000030517578,95.22000122070312,93.5999984741211,93.94999694824219,13745400,-0.36161373990664103
2017-08-09,73.99402618408203,93.52999877929688,93.68000030517578,92.83000183105469,92.9800033569336,11214400,-0.1601075056067991
2017-08-10,72.93391418457031,92.19000244140625,93.06999969482422,92.06999969482422,92.9000015258789,13252300,-1.4326994409986193
2017-08-11,72.3247299194336,91.41999816894531,92.66999816894531,91.23999786376953,92.12999725341797,10679500,-0.8352551374043671
2017-08-14,73.1712417602539,92.48999786376953,92.9000015258789,92.33000183105469,92.37000274658203,10994800,1.1704320800966617
2017-08-15,73.3611068725586,92.7300033569336,93.55999755859375,92.6500015258789,93.30999755859375,8812700,0.259480511382848
2017-08-16,72.85481262207031,92.08999633789062,93.2300033569336,91.87999725341797,93.04000091552734,11085400,-0.6901398739359355
2017-08-17,71.71556854248047,90.6500015258789,91.95999908447266,90.5,91.76000213623047,13837500,-1.563718357906707
2017-08-18,71.78678131103516,90.73999786376953,91.54000091552734,90.19000244140625,90.30999755859375,13040700,0.09929889702053885
2017-08-21,71.69974517822266,90.62999725341797,90.94000244140625,90.16000366210938,90.8499984741211,11502100,-0.1212425619633084
2017-08-22,72.43550109863281,91.55999755859375,91.70999908447266,91.0,91.06999969482422,9211800,1.02616253179324
2017-08-23,72.52251434326172,91.66999816894531,92.33999633789062,90.83999633789062,90.87000274658203,8811300,0.12012513658243851
2017-08-24,72.40386962890625,91.5199966430664,92.12000274658203,91.41000366210938,91.93000030517578,8623200,-0.16359707799691314
2017-08-25,72.69657135009766,91.88999938964844,92.4800033569336,91.80000305175781,91.87999725341797,11794600,0.40426253830299075
2017-08-28,72.46713256835938,91.5999984741211,92.19000244140625,91.12999725341797,92.16000366210938,7292900,-0.3156115583956898
2017-08-29,72.07157897949219,91.0999984741211,91.30999755859375,90.30999755859375,90.44999694824219,10886100,-0.5458386096539036
2017-08-30,72.23772430419922,91.30999755859375,91.87999725341797,91.19000244140625,91.25,9165300,0.23052821522657752
2017-08-31,71.90544128417969,90.88999938964844,91.8499984741211,90.80000305175781,91.80999755859375,13217400,-0.45998544835141875
2017-09-01,72.54623413085938,91.69999694824219,92.36000061035156,90.94999694824219,91.25,9815800,0.8911604396490524
2017-09-05,70.81371307373047,89.51000213623047,91.11000061035156,89.0199966430664,91.0199966430664,16897300,-2.388161257280119
2017-09-06,71.28836822509766,90.11000061035156,90.5199966430664,89.63999938964844,90.0,11845700,0.6702870542503181
2017-09-07,70.03839874267578,88.52999877929688,90.12999725341797,88.08000183105469,90.11000061035156,14592300,-1.7533989254390203
2017-09-08,69.95135498046875,88.41999816894531,89.41999816894531,88.23999786376953,88.30999755859375,14242200,-0.12428005746795145
2017-09-11,71.03521728515625,89.79000091552734,90.25,88.94999694824219,89.38999938964844,13219000,1.5494514795176162
2017-09-12,71.90544128417969,90.88999938964844,91.25,90.0999984741211,90.16999816894531,14003800,1.2250599523474515
2017-09-13,72.11114501953125,91.1500015258789,91.5,90.31999969482422,90.61000061035156,12485400,0.28607533960969267
2017-09-14,71.96871948242188,90.97000122070312,91.52999877929688,90.73999786376953,91.19999694824219,10562800,-0.1975083561227553
2017-09-15,72.48299407958984,91.62000274658203,91.70999908447266,90.76000213623047,91.08000183105469,18171800,0.7145807246071278
2017-09-18,73.51143646240234,92.91999816894531,93.13999938964844,91.8499984741211,91.93000030517578,11318700,1.4188740350367102
2017-09-19,74.31837463378906,93.94000244140625,94.36000061035156,92.5199966430664,92.70999908447266,12626100,1.097704262382937
2017-09-20,74.84053802490234,94.5999984741211,95.29000091552734,93.70999908447266,94.0999984741211,15311600,0.7026033517098407
2017-09-21,75.18070220947266,95.02999877929688,95.37000274658203,94.19000244140625,94.45999908447266,10851500,0.4545186252631339
